city,position,rank_change,download,upload,latency
Ar-Rayyan,1,-,427.38,27.58,19
Dubai,2,-,358.00,30.81,18
Abu Dhabi,3,-,303.71,24.10,22
Doha,4,+1,287.57,28.42,19
Riyadh,5,+2,269.95,21.41,19
Copenhagen,6,-,253.84,25.47,15
Lisbon,7,-3,252.63,26.93,19
Oslo,8,-,248.90,33.38,16
Stockholm,9,+3,232.55,32.53,15
Porto,10,+1,221.65,19.60,17
Shanghai,11,-2,219.71,34.11,17
Kuwait City,12,+2,218.66,31.77,17
Beijing,13,-3,217.02,36.27,21
Seoul,14,-1,212.13,21.57,29
Los Angeles,15,+4,203.39,17.10,23
Sofia,16,-1,183.98,29.72,15
Antwerp,17,+5,180.70,20.21,23
New York,18,-1,180.26,21.48,23
Skopje,19,+5,172.78,37.43,16
Helsinki,20,+1,171.27,27.59,16
Jeddah,21,-1,170.03,17.89,22
Vilnius,22,+13,169.99,22.48,17
Gothenburg,23,-7,167.64,26.86,24
Lyon,24,+5,160.50,14.33,26
Johor Bahru,25,-,158.68,27.71,22
Paris,26,-3,156.83,14.74,22
Toronto,27,+1,156.81,22.59,19
Zagreb,28,-2,152.08,26.27,17
Busan,29,-11,150.44,19.63,30
Kuala Lumpur,30,-3,144.22,28.62,17
Montreal,31,+2,141.85,18.25,18
Zürich,32,-2,137.30,29.26,17
Riga,33,+3,131.15,17.33,15
Rotterdam,34,-3,130.07,26.70,20
São Paulo,35,-3,129.14,18.38,19
Manama,36,+1,126.21,20.12,18
Delhi,37,+6,120.20,7.52,20
Sydney,38,-,117.83,10.78,18
Thessaloniki,39,+2,116.52,20.82,23
Melbourne (Greater),40,-,112.25,9.81,19
Montevideo,41,-7,112.16,19.55,18
Prague,42,+2,110.00,30.89,18
Amsterdam,43,-4,106.64,19.81,21
Warsaw,44,+1,104.51,23.52,17
Rio de Janeiro,45,+5,102.72,16.93,19
Muscat,46,+3,100.66,21.79,17
Hamburg,47,+5,100.39,16.01,21
Taipei,48,+8,98.68,18.35,17
Vienna,49,+2,98.48,19.26,16
Manchester,50,+7,98.02,10.27,32
Berlin,51,+3,97.92,14.75,23
Kraków,52,-5,96.60,19.07,23
Athens,53,-,93.84,18.85,18
Bucharest,54,+1,93.74,27.64,18
Geneva,55,-7,91.65,28.04,20
London,56,+4,89.65,9.33,26
Dublin,57,+1,89.17,12.59,19
Brussels,58,+4,86.77,17.82,21
Madrid,59,-17,84.57,15.02,21
Auckland,60,-1,83.46,13.92,21
New Taipei,61,+2,81.62,15.55,18
Barcelona,62,-16,78.57,13.99,23
Milan,63,+1,78.35,14.00,24
Tel Aviv-Yafo,64,-3,76.79,16.27,20
Mumbai,65,+2,70.24,7.89,21
Budapest,66,+4,67.27,22.25,20
Osaka,67,-2,66.74,12.24,36
Johannesburg,68,+7,65.06,13.36,19
Bangkok,69,-1,63.83,17.88,20
Almaty,70,+3,63.58,17.45,17
Belgrade,71,-5,62.69,21.64,17
Rome,72,-3,62.55,12.20,30
Guatemala City,73,+11,61.95,26.32,16
Baku,74,+3,59.78,18.25,18
Rabat,75,+4,55.67,15.48,20
Cape Town,76,+2,55.44,8.75,21
Santiago,77,-3,55.34,19.32,17
Casablanca,78,+2,54.93,15.58,19
Tokyo,79,-3,52.29,10.54,32
Ho Chi Minh City,80,-8,51.62,22.93,18
Santo Domingo,81,+8,51.51,18.20,19
Beirut,82,+4,51.27,14.25,21
Addis Ababa,83,+11,49.96,19.94,33
Haifa,84,-13,49.40,11.33,23
Manila,85,-3,49.29,8.97,16
Astana,86,+1,48.45,16.33,19
Lagos,86,-3,48.45,11.59,19
Istanbul,88,+4,44.00,16.56,21
Colombo,89,+6,43.34,15.92,17
Ankara,90,-5,43.10,15.42,20
Abidjan,91,+11,43.08,16.20,21
Chon Buri,92,-1,42.65,14.61,22
Tashkent,93,+11,42.46,16.94,17
Hanoi,94,-13,42.42,14.95,23
San Pedro Sula,95,+8,42.11,16.73,36
Tbilisi,96,+4,41.60,17.52,20
Medellín,97,+45,40.74,15.88,25
Davao City,98,+11,40.48,9.52,32
Moscow,99,-1,40.11,13.80,21
Tehran,100,+12,39.81,9.12,22
Yangon,101,+9,39.66,18.39,16
