country,position,rank_change,download,upload,latency
Singapore,1,-,284.13,229.80,4
United Arab Emirates,2,+3,276.02,134.85,5
Hong Kong (SAR),3,-,274.26,193.14,4
Chile,4,-2,265.12,168.13,6
United States,5,+1,254.01,31.37,13
Iceland,6,-2,242.94,225.88,3
France,7,-,242.45,172.10,10
China,8,-,241.69,38.27,17
Monaco,9,-,238.07,158.62,4
Thailand,10,-,231.25,199.93,6
Denmark,11,-,224.14,130.63,7
Spain,12,-,217.30,158.31,11
Romania,13,-,214.13,140.57,5
Switzerland,14,-,205.06,92.51,7
Israel,15,+3,199.20,76.26,6
Canada,16,+1,198.22,52.30,11
Japan,17,-2,196.59,104.38,12
Netherlands,18,-2,192.77,82.71,9
Liechtenstein,19,-,189.37,185.37,3
Hungary,20,-,178.50,40.58,9
Portugal,21,-,173.57,94.57,7
Kuwait,22,+1,170.83,29.88,17
Taiwan,23,+6,169.67,89.62,5
New Zealand,24,-,166.38,93.35,7
South Korea,25,-3,160.59,115.71,7
Macau (SAR),26,-1,159.59,153.91,4
Brazil,27,-1,158.57,93.59,5
Poland,28,-1,156.45,47.38,9
Qatar,29,+4,155.86,131.46,4
Sweden,30,-2,155.03,101.04,7
Panama,31,-1,151.14,14.91,10
Luxembourg,32,-,146.86,93.79,6
Jordan,33,+4,141.82,117.79,4
Peru,34,+9,137.58,86.84,7
Moldova,35,+1,136.91,107.13,3
Colombia,36,-2,135.17,45.88,10
Uruguay,37,-6,134.24,32.71,6
Norway,38,-3,132.44,102.39,6
Andorra,39,-1,126.83,132.29,3
Lithuania,40,+4,120.69,94.75,3
Trinidad and Tobago,41,+1,118.26,49.87,9
Ireland,42,+3,118.04,41.08,9
Finland,43,-3,117.58,49.66,12
Malta,44,-5,115.13,29.02,7
Malaysia,45,-4,114.00,55.84,7
Saudi Arabia,46,-,111.86,56.66,8
Vietnam,47,-,109.12,104.30,4
United Kingdom,48,-,104.53,27.15,13
San Marino,49,-,101.01,87.31,5
Saint Lucia,50,+7,101.01,24.74,34
Belgium,51,-1,97.89,20.59,12
Philippines,52,-,93.91,93.54,6
Austria,53,+7,93.68,20.93,11
Slovenia,54,-1,93.64,47.59,6
Dominica,55,+6,93.44,59.24,50
Costa Rica,56,-5,92.92,46.06,7
Latvia,57,-2,92.26,66.95,6
Germany,58,-4,91.73,32.68,13
Saint Vincent and the Grenadines,59,+7,91.37,24.92,9
Cyprus,60,-4,90.98,38.71,7
Ecuador,61,+2,90.04,79.43,5
Paraguay,62,-3,89.95,29.03,10
Bahrain,63,+4,89.14,20.78,6
Montenegro,64,-2,88.81,9.83,6
Russia,65,-1,87.28,91.49,4
Barbados,66,-8,86.49,69.38,4
Grenada,67,+3,86.30,34.15,10
Guyana,68,-3,86.02,32.67,5
Estonia,69,-,85.37,53.09,6
Serbia,70,+4,82.21,22.88,9
Italy,71,+2,81.17,20.21,12
Bulgaria,72,-4,81.15,63.04,5
Argentina,73,-1,80.88,36.13,11
Brunei,74,-3,80.32,55.47,4
Slovakia,75,-,79.99,37.76,9
Ukraine,76,-,77.73,82.57,4
Kosovo,77,+1,71.72,19.80,9
Croatia,78,-1,71.08,29.39,9
Jamaica,79,-,70.86,45.56,10
Czechia,80,-,69.77,24.84,10
The Bahamas,81,+9,69.06,18.10,10
Côte d'Ivoire,82,+11,68.85,25.79,5
Mongolia,83,-2,68.60,45.74,4
Nepal,84,+1,67.17,56.22,5
Palestine,85,-2,66.76,60.84,5
Egypt,86,-,65.54,8.83,7
Belarus,87,-,64.60,51.39,5
Saint Kitts and Nevis,88,+4,63.28,26.21,6
Mexico,89,-,63.02,31.20,6
Uzbekistan,90,-8,62.75,59.67,10
Oman,91,-7,62.51,30.69,11
India,92,-4,61.84,54.19,6
Albania,93,-2,61.29,28.91,6
Australia,94,-,60.16,18.47,10
Kyrgyzstan,95,-,57.06,55.02,3
Armenia,96,+1,52.76,50.37,4
