country,position,rank_change,download,upload,latency
Qatar,1,-,313.30,27.53,19
United Arab Emirates,2,-,296.00,26.25,19
Kuwait,3,-,228.64,23.73,18
Iceland,4,+4,158.32,20.22,17
South Korea,5,-1,156.23,17.68,30
Denmark,6,-1,145.75,19.27,19
China,7,-1,143.73,27.51,30
Netherlands,8,+1,135.52,19.80,22
United States,9,+2,129.26,10.24,29
Macau (SAR),10,+4,127.39,31.53,15
Saudi Arabia,11,-1,124.93,14.81,27
Bahrain,12,+1,122.20,18.00,18
Norway,13,-6,121.20,17.92,26
Lithuania,14,+17,118.49,16.75,21
Bulgaria,15,-3,111.91,19.85,19
India,16,+1,105.85,9.08,29
Brunei,17,+6,103.76,34.89,15
Canada,18,+2,103.58,13.18,23
Finland,19,-4,103.58,15.20,22
Sweden,20,-4,101.56,17.02,23
Croatia,21,-,101.15,18.22,22
France,22,+2,98.03,8.74,30
Singapore,23,-4,97.64,17.73,17
Luxembourg,24,-2,94.59,12.47,20
Estonia,25,+1,93.34,15.43,19
Switzerland,26,+1,92.67,20.07,19
Malaysia,27,+1,91.15,20.93,23
Latvia,28,+1,90.69,12.53,17
North Macedonia,29,+3,89.96,26.66,19
Portugal,30,-12,89.72,14.08,22
Australia,31,-6,89.66,8.83,22
Maldives,32,-2,85.94,20.47,18
Austria,33,-,83.37,16.39,22
Taiwan,34,+2,82.12,15.07,19
Malta,35,+7,81.18,16.45,17
Slovenia,36,+4,80.21,13.17,18
Belgium,37,-2,80.10,12.63,24
Greece,38,-4,79.28,14.04,22
Oman,39,-1,77.85,13.38,23
Czechia,40,+1,74.95,20.31,22
Uruguay,41,-4,68.10,13.80,23
New Zealand,42,-3,67.86,10.77,31
Hong Kong (SAR),43,-,63.80,12.78,17
Romania,44,-,60.76,15.51,23
Cyprus,45,-,60.52,11.40,17
Montenegro,46,-,59.88,17.46,18
Poland,47,+1,59.50,12.19,25
Germany,48,-1,59.29,12.91,27
Mauritius,49,+8,57.52,17.80,17
Brazil,50,+1,56.28,12.85,25
United Kingdom,51,-1,54.41,7.80,34
Slovakia,52,+2,53.87,13.44,20
Serbia,53,-1,53.55,15.88,19
Albania,54,+1,50.55,13.15,19
Italy,55,+3,50.37,10.21,35
Azerbaijan,56,+3,50.12,12.77,19
South Africa,57,-1,50.03,8.36,24
Hungary,58,+3,49.73,16.95,23
Vietnam,59,-6,49.34,19.87,22
Japan,60,-,47.89,8.92,37
Spain,61,-12,47.49,11.28,34
Togo,62,-,45.72,8.64,18
Suriname,63,+1,45.32,20.15,18
Thailand,64,-1,44.35,13.69,24
Israel,65,-,42.62,9.23,24
Botswana,66,-4,42.54,13.14,25
Morocco,67,-,42.19,11.95,24
Kosovo,68,-2,40.89,13.41,18
Georgia,69,+3,38.10,14.35,22
Kazakhstan,70,-,38.04,13.66,21
Côte d'Ivoire,71,+19,37.65,14.42,23
Turkey,72,-4,37.45,14.26,23
Chile,73,+5,37.37,13.62,25
Ireland,74,-5,36.26,8.63,24
Iran,75,-2,36.16,9.94,30
Burkina Faso,76,-,36.07,17.25,19
Lebanon,77,-3,35.58,9.80,23
Senegal,78,+1,33.78,11.61,19
Zimbabwe,79,-8,32.92,14.46,28
Moldova,80,-4,32.92,13.10,19
Ethiopia,81,+2,32.78,16.74,35
Guatemala,82,+4,32.01,17.31,20
Trinidad and Tobago,83,-8,31.76,10.96,23
Philippines,84,-2,30.90,7.05,22
Iraq,85,-1,30.35,14.60,19
Costa Rica,86,+12,30.19,9.06,23
Kyrgyzstan,87,-,29.92,12.08,23
El Salvador,88,+5,29.67,10.19,21
Armenia,89,-9,29.07,12.68,19
Dominican Republic,90,+17,28.65,9.86,23
Honduras,91,-,28.61,13.08,41
Benin,92,-,28.52,12.53,22
Uzbekistan,93,+1,28.25,11.79,24
Uganda,94,-17,27.81,11.29,21
Mexico,95,+2,27.17,10.85,38
Argentina,96,+4,26.92,6.95,28
Jamaica,97,-12,26.70,7.31,23
Nigeria,98,-2,26.67,11.54,29
Egypt,99,+4,26.41,6.21,30
Ecuador,100,+4,25.97,12.76,30
Tunisia,101,+11,25.94,13.84,21
Ukraine,102,-14,25.83,11.51,33
